,Age,EdLevel,MentalHealth,MainBranch,YearsCode,YearsCodePro,custom_employment
589,>35,Other,No,Dev,43,43,1
590,<35,Undergraduate,No,Dev,13,3,1
591,<35,Undergraduate,Yes,Dev,8,5,0
592,>35,Undergraduate,Yes,Dev,1,1,1
593,>35,Other,No,Dev,38,30,0
594,>35,Other,No,Dev,20,15,1
595,<35,Master,No,Dev,14,8,1
596,<35,Undergraduate,No,Dev,6,5,0
597,<35,Undergraduate,No,Dev,4,3,0
598,<35,Master,No,Dev,15,12,0
599,>35,Undergraduate,Yes,NotDev,47,40,1
600,<35,Undergraduate,No,Dev,9,6,0
601,>35,PhD,No,Dev,31,29,1
602,<35,Undergraduate,No,Dev,11,10,1
603,<35,Undergraduate,No,Dev,10,9,1
604,<35,Undergraduate,Yes,Dev,10,6,1
605,>35,Undergraduate,No,Dev,25,15,0
606,>35,Master,No,Dev,22,15,1
607,>35,Master,No,NotDev,35,30,1
